clade_name	t0_1	t0_2	t0_3	t1_1	t1_2	t1_3	t2_1	t2_2	t2_3	t3_1	t3_2	t3_3	t4_1	t4_2	t4_3	t5_1	t5_2	t5_3	t6_1	t6_2	t6_3
s__Chitinimonas_taiwanensis	0.4817	1.39479	0.17147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nocardioides_sediminis	0.47899	0.8527	0.71641	0.00459	0.0387	0.04195	0.04926	0.03338	0.05521	0.0105	0.04457	0.04798	0.0	0.03529	0.0167	0.0	0.01492	0.01512	0.0	0.0	0.0
s__Chroococcidiopsis_cubana	0.44273	0.55133	0.50371	0.01067	0.01384	0.02246	0.00485	0.01691	0.0	0.01089	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05917	0.0	0.0
s__GGB33037_SGB24024	0.36482	0.45405	0.31166	0.0	0.01029	0.0051	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30756	0.02034	0.37624
s__Nitrospira_sp_SCGC_AG_212_E16	0.36384	0.15105	0.05519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19447
s__Thermolongibacillus_altinsuensis	0.3362	0.75849	2.57704	0.03624	0.05538	0.0735	0.13263	0.11318	0.08214	0.10042	0.06323	0.2568	0.09839	0.06243	0.05594	0.20731	0.30948	0.20073	1.18481	1.38088	0.81177
s__Bacillus_cereus	0.25678	1.64867	0.18665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3557	0.0	0.0
s__Methylocystis_hirsuta	0.24756	0.0	0.1691	0.0	0.14166	0.0	0.0	0.06745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Betaproteobacteria_bacterium_SCGC_AG_212_J23	0.17923	0.23451	0.12826	0.0	0.0	0.0	0.01869	0.04315	0.04218	0.04205	0.04699	0.02944	0.12404	0.12525	0.0801	0.09593	0.14374	0.1204	2.80763	2.75205	3.16431
s__Alkalihalobacillus_gibsonii	0.17812	0.34612	0.12798	0.00232	0.01498	0.0	0.03666	0.00556	0.0	0.0	0.01151	0.0	0.0	0.00546	0.00264	0.0	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_sp_HYO08	0.17746	0.24456	0.44472	0.00378	0.01205	0.02897	0.01318	0.03776	0.02027	0.0	0.00305	0.01975	0.0	0.03068	0.02653	0.05588	0.06077	0.04032	0.15812	0.09447	0.17541
s__Streptomyces_sp_NRRL_F_5122	0.17376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ectobacillus_antri	0.15966	0.18372	0.11397	0.00175	0.00592	0.0166	0.0	0.01883	0.00987	0.0	0.00436	0.00668	0.0	0.01982	0.01478	0.00207	0.0	0.0	0.06306	0.0	0.08231
s__Rhodococcus_hoagii	0.15963	0.88817	0.34075	0.0	0.0	0.05026	0.0	0.0812	0.02507	0.0	0.0	0.0	0.0	0.0	0.10042	0.0	0.0	0.0	0.0	0.0	0.0
s__Mycobacterium_rufum	0.15259	0.63378	0.09272	0.00158	0.00225	0.02671	0.0	0.03783	0.04768	0.03333	0.03194	0.03897	0.0	0.0	0.03862	0.02214	0.0	0.0	0.0	0.0	0.0
s__Stanieria_sp_NIES_3757	0.11056	0.24032	0.28703	0.0	0.0	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lysobacter_niastensis	0.10202	0.33994	0.12491	0.03469	0.04869	0.04006	0.01147	0.04189	0.04279	0.0	0.03745	0.04604	0.0	0.07709	0.0	0.0	0.02194	0.0	0.0	0.0	0.0
s__Gaiella_occulta	0.05085	0.06477	0.04338	0.00382	0.00268	0.0	0.0	0.00708	0.00651	0.0015	0.00315	0.00726	0.0	0.01178	0.0057	0.00225	0.00955	0.00434	0.0	0.0	0.0
s__GGB63067_SGB85311	0.05074	0.13278	0.0183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Zafaria_cholistanensis	0.04121	0.09933	0.12916	0.0	0.00789	0.00241	0.10216	0.15638	0.5756	0.09783	0.07685	0.48408	0.08125	0.07603	0.36117	0.06581	0.13239	0.21455	0.03501	0.0	0.0
s__Microvirga_zambiensis	0.03027	0.30067	0.22286	0.01153	0.0	0.01527	0.0	0.01678	0.01613	0.0	0.0	0.00572	0.0	0.00977	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cystobacter_fuscus	0.0	3.15224	0.88284	0.0	0.0	0.0	0.0	0.0	0.0	0.86975	0.04084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lacibacter_luteus	0.0	0.42866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Microvirga_lupini	0.0	0.38949	0.0	0.0	0.0	0.0	0.0	0.00621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acinetobacter_tandoii	0.0	0.23859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Agromyces_flavus	0.0	0.21454	0.21083	0.0	0.0	0.0	0.01464	0.08093	0.09403	0.03595	0.0	0.05016	0.03448	0.0	0.04291	0.03044	0.0	0.0	0.0	0.0	0.0
s__Lysobacter_sp_WF_2	0.0	0.15404	0.11027	1.90269	10.67011	0.86954	7.89045	27.26022	19.91122	37.49603	7.0064	21.78189	33.05121	11.73089	17.93364	30.27108	10.09785	16.23142	0.0	0.0	0.0
s__Ensifer_sesbaniae	0.0	0.13506	0.6273	8.33897	13.62861	10.26376	5.24465	2.55454	2.12172	1.91771	4.40237	2.19268	1.46402	3.82645	1.04336	1.67726	3.86779	1.25274	0.0	0.0	0.0
s__Rhodococcus_sp_Q	0.0	0.12366	0.01538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methylocystis_sp_ATCC_49242	0.0	0.10491	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phormidium_ambiguum	0.0	0.09145	0.14873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Tetrasphaera_sp_F2B08	0.0	0.0616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodocyclaceae_bacterium	0.0	0.0534	0.0	0.00986	0.74885	0.00727	0.20969	0.01716	0.02249	0.0	0.13618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_furukawaii	0.0	0.05073	0.0	0.0	0.0	0.0	0.02632	0.0	0.0	0.0	0.09233	0.0	0.0	0.08658	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomycetospora_succinea	0.0	0.04852	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Nitrospira_nitrificans	0.0	0.04683	0.05272	0.00461	0.01227	0.00132	0.03258	0.00967	0.01111	0.0	0.03009	0.00929	0.0	0.0626	0.00922	0.00536	0.07296	0.00692	0.0	0.0	0.0
s__Fictibacillus_aquaticus	0.0	0.04604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodospirillaceae_bacterium_SYSU_D60009	0.0	0.03373	0.0	0.0	0.01117	0.00067	0.0228	0.0324	0.02058	0.015	0.02753	0.0123	0.14363	0.17838	0.07322	0.07356	0.19988	0.10245	0.04775	0.0	0.10809
s__Pseudarthrobacter_enclensis	0.0	0.03199	0.1455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Flavihumibacter_sp_ZG627	0.0	0.02881	0.0	0.01836	0.0	0.03023	0.0032	0.03892	0.09189	0.02316	0.0	0.05946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Manganitrophus_noduliformans	0.0	0.02587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Thioploca_ingrica	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Calothrix_sp_NIES_4101	0.0	0.01532	0.01839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nannocystis_exedens	0.0	0.01324	0.07339	0.0	0.0	0.0	0.10096	0.0	0.0	0.0	0.06161	0.0	0.0	0.18897	0.0	0.0	0.0658	0.0	0.0	0.0	0.0
s__Nocardioides_cavernae	0.0	0.01309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Nitrospira_nitrosa	0.0	0.01233	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Piscinibacter_defluvii	0.0	0.0	0.20757	0.0	0.0	0.0	0.0	0.0312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_YM1C_6_2	0.0	0.0	0.04446	0.50993	1.70302	0.62775	3.71095	2.23204	1.45685	1.07883	3.02714	1.24949	0.62937	1.22646	0.70206	0.41364	0.91925	0.19412	0.0	0.0	0.0
s__Anoxybacillus_calidus	0.0	0.0	0.02189	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01525	0.0	0.0	0.0	0.0	0.0	0.03194	0.0	0.0	0.0
s__Bacillus_sp_FJAT_29937	0.0	0.0	0.01988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196	0.04141	0.0	0.0
s__Enterobacter_roggenkampii	0.0	0.0	0.0	27.89213	1.71662	13.39474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bosea_thiooxidans	0.0	0.0	0.0	7.59237	5.77599	6.31934	7.23277	3.45388	4.20871	2.84487	10.29559	3.61416	2.36763	7.50403	1.8308	1.97027	7.1171	1.98414	0.0	0.0	0.0
s__Lacrimispora_celerecrescens	0.0	0.0	0.0	3.81984	0.60117	7.55008	0.48761	5.73922	4.93265	5.42411	0.50863	4.62295	7.51537	1.04251	5.32586	8.9905	1.12032	5.18974	0.0	0.0	0.0
s__Clostridium_amylolyticum	0.0	0.0	0.0	3.52599	0.72261	2.98728	0.00412	0.34148	0.08829	0.49601	0.0	0.14592	0.30648	0.03282	0.62513	0.67132	0.0	0.27971	0.0	0.0	0.0
s__Enterobacter_asburiae	0.0	0.0	0.0	2.84598	0.4908	2.25878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_cloacae	0.0	0.0	0.0	2.81222	0.41205	1.21772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cellulosimicrobium_cellulans	0.0	0.0	0.0	2.23229	2.11689	1.9563	1.10859	5.52627	2.58338	4.38226	1.82032	1.87232	0.20224	0.37462	0.23103	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_variicola	0.0	0.0	0.0	1.96867	0.19265	3.86607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_mori	0.0	0.0	0.0	1.92073	0.56721	3.89513	0.0	0.0	0.0	0.0	0.0	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_quasipneumoniae	0.0	0.0	0.0	1.3076	0.10143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bosea_sp_AS_1	0.0	0.0	0.0	1.03107	1.49351	0.39603	0.66446	0.24889	0.0498	0.06947	1.08465	0.0	0.0	0.56571	0.0	0.0	0.18172	0.0	0.0	0.0	0.0
s__Streptomyces_chartreusis	0.0	0.0	0.0	0.99906	4.73879	2.00265	4.07536	1.41202	1.11533	0.98875	3.90157	1.0561	0.98197	5.03596	1.00543	1.69841	7.174	1.36702	0.0	0.0	0.0
s__Enterobacter_hormaechei	0.0	0.0	0.0	0.71803	0.0	0.07536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_bugandensis	0.0	0.0	0.0	0.57013	0.0	0.68541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Escherichia_coli	0.0	0.0	0.0	0.35582	0.0199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_chromiireducens	0.0	0.0	0.0	0.33908	0.0	0.19459	0.0	0.07762	0.04758	0.10259	0.0	0.05604	0.03119	0.0	0.02508	0.15484	0.0	0.17012	0.0	0.0	0.0
s__Methylobacterium_aquaticum	0.0	0.0	0.0	0.32964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_YIM_B02565	0.0	0.0	0.0	0.32694	0.0	0.16213	0.0	0.29014	0.11452	0.12426	0.0	0.61011	0.23899	0.0	0.13936	0.32167	0.0	1.02153	0.0	0.0	0.0
s__Klebsiella_pneumoniae	0.0	0.0	0.0	0.32453	0.0	1.08651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methylorubrum_zatmanii	0.0	0.0	0.0	0.32423	0.0	0.04315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_ASBs410	0.0	0.0	0.0	0.31743	0.0	1.46018	0.0	0.17576	0.29252	0.35901	0.0	0.29676	0.05641	0.0	0.62452	0.29104	0.0	0.19055	0.0	0.0	0.0
s__Sphingomonas_zeae	0.0	0.0	0.0	0.31553	0.0	0.58982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_mexicana	0.0	0.0	0.0	0.31486	2.26663	0.19693	2.67906	1.00633	1.15025	0.5922	1.19608	0.39827	0.03981	0.13456	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_intestinale	0.0	0.0	0.0	0.28366	0.0	0.00907	0.02267	0.11169	0.25308	0.19064	0.0	0.19556	0.11649	0.0	0.06655	0.31176	0.0	0.0431	0.0	0.0	0.0
s__Pseudoxanthomonas_beigongshangi	0.0	0.0	0.0	0.27967	3.7907	0.11136	7.79794	1.94384	1.91243	1.2821	5.03116	1.47501	0.25065	2.45593	0.60542	0.00529	1.09016	0.01312	0.0	0.0	0.0
s__Dyadobacter_jiangsuensis	0.0	0.0	0.0	0.26831	0.47634	0.43645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_kobei	0.0	0.0	0.0	0.26738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ensifer_adhaerens	0.0	0.0	0.0	0.23971	0.40191	0.26319	0.02606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_maltophilia	0.0	0.0	0.0	0.21867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_soli	0.0	0.0	0.0	0.19723	0.0	0.34102	0.0	0.0	0.05107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phytobacter_diazotrophicus	0.0	0.0	0.0	0.18943	0.0	0.07074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Macellibacteroides_fermentans	0.0	0.0	0.0	0.16232	0.0	0.42349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Citrobacter_freundii	0.0	0.0	0.0	0.15456	0.2844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cupriavidus_oxalaticus	0.0	0.0	0.0	0.14121	0.18414	0.17794	0.19876	0.27323	0.19992	0.17925	0.13357	0.13852	0.0	0.30172	0.09664	0.01017	0.34893	0.13257	0.0	0.0	0.0
s__Hydrogenophaga_pseudoflava	0.0	0.0	0.0	0.11324	0.0	0.17585	0.0	0.0	0.16435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_hydrogenans	0.0	0.0	0.0	0.10917	0.2487	0.31347	0.21378	0.0	0.02226	0.0	0.29971	0.0	0.0	0.03559	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhizobium_sp_BK060	0.0	0.0	0.0	0.10482	0.0718	0.19815	0.01942	0.2097	0.16564	0.18213	0.01953	0.10874	0.0264	0.07	0.03975	0.02402	0.0	0.0	0.0	0.0	0.0
s__bacterium_MS4	0.0	0.0	0.0	0.10183	0.0	0.5481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bosea_sp_F3_2	0.0	0.0	0.0	0.09696	0.0384	0.05264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Shinella_sp_WSJ_2	0.0	0.0	0.0	0.09125	0.06032	0.12705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB23756_SGB35463	0.0	0.0	0.0	0.0879	0.0	0.13835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Cellulosimicrobium_sp_BI34T	0.0	0.0	0.0	0.08772	0.02477	0.05163	0.0	0.018	0.03065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_rhizosphaerae	0.0	0.0	0.0	0.07715	0.2054	0.06357	0.04898	0.01858	0.07203	0.0	0.0	0.01927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Hydrogenoanaerobacterium_saccharovorans	0.0	0.0	0.0	0.07648	0.0	0.39349	0.0	0.0	0.08177	0.0	0.0	0.26608	0.0	0.0	0.02312	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_antibioticus	0.0	0.0	0.0	0.06112	0.03058	0.00951	0.0	0.168	0.11263	0.0	0.07888	0.02758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sartagoforme	0.0	0.0	0.0	0.05171	0.0	0.21562	0.0	0.19126	0.08238	0.2074	0.0	0.01006	0.2733	0.0	0.38587	0.27063	0.25374	0.14645	0.0	0.0	0.0
s__Phyllobacteriaceae_bacterium_SYSU_D60010	0.0	0.0	0.0	0.04954	0.17006	0.07065	0.24919	0.08439	0.0906	0.04232	0.21761	0.05234	0.01817	0.17555	0.03232	0.00808	0.14558	0.0	0.0	0.0	0.0
s__Streptomyces_nymphaeiformis	0.0	0.0	0.0	0.04782	0.02001	0.05986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Flavihumibacter_solisilvae	0.0	0.0	0.0	0.04643	0.063	0.03391	0.03842	0.01631	0.04946	0.00575	0.01334	0.02517	0.0	0.03282	0.0	0.00859	0.0	0.0	0.0	0.0	0.0
